Time,Var1
56.759초,-0.01561667
56.805초,-0.01550899
56.855초,-0.01543015
56.906초,-0.01553073
56.956초,-0.01568788
57.007초,-0.01558821
57.057초,-0.01547918
57.108초,-0.01557693
57.158초,-0.01572085
57.204초,-0.015726
57.259초,-0.01547181
57.305초,-0.0155344
57.355초,-0.01570412
57.406초,-0.01573109
57.456초,-0.01555003
57.507초,-0.01549699
57.558초,-0.01569482
57.608초,-0.01572386
57.659초,-0.01551438
57.704초,-0.01545225
57.755초,-0.01560148
57.81초,-0.01572462
57.856초,-0.01560415
57.906초,-0.01538075
57.957초,-0.01557698
58.007초,-0.01575212
58.058초,-0.0155876
58.103초,-0.01543512
58.159초,-0.01557454
58.204초,-0.01569342
58.255초,-0.01569057
58.31초,-0.01539418
58.356초,-0.01544116
58.406초,-0.0156952
58.457초,-0.01564936
58.507초,-0.01542565
58.558초,-0.01541088
58.603초,-0.01550735
58.659초,-0.0155187
58.709초,-0.01526311
58.755초,-0.01514561
58.805초,-0.01528381
58.856초,-0.01539526
58.907초,-0.01515415
58.957초,-0.01508939
59.008초,-0.01509369
59.058초,-0.01515645
59.109초,-0.01511143
59.154초,-0.01498991
59.21초,-0.01495261
59.255초,-0.01493897
59.306초,-0.01489018
59.356초,-0.0148028
59.407초,-0.01482917
59.457초,-0.01477949
59.503초,-0.0146747
59.558초,-0.01466031
59.609초,-0.01464949
59.654초,-0.01451922
59.71초,-0.01435001
59.755초,-0.01428664
59.806초,-0.01422836
59.856초,-0.01397089
59.907초,-0.01416823
59.957초,-0.01382251
60.008초,-0.01378115
60.058초,-0.01350563
60.109초,-0.01364568
60.154초,-0.01356164
60.205초,-0.01322938
60.255초,-0.01248155
60.306초,-0.01188958
60.357초,-0.01238528
60.407초,-0.01151027
60.458초,-0.01127225
60.508초,-0.007353021
60.554초,-0.007357164
60.609초,-0.006539179
60.655초,-0.007976593
60.705초,-0.005731095
60.756초,-0.001167051
60.806초,0.004615374
60.857초,0.007057786
60.907초,0.007968567
60.958초,0.006227746
61.008초,0.009008817
61.054초,0.01459201
61.109초,0.01500107
61.155초,0.01211946
61.205초,0.01085882
61.256초,0.006939132
61.306초,0.005261614
61.357초,0.0009030669
61.407초,-0.0008711486
61.458초,-0.0008070257
61.508초,-0.001555442
61.554초,-0.000768516
61.605초,0.002399797
61.66초,0.00690961
61.706초,0.007947021
61.756초,0.01238256
61.806초,0.01191344
61.857초,0.01100948
61.908초,0.007544648
61.953초,0.009364866
62.009초,0.009093469
62.054초,0.009753065
62.105초,0.00880613
62.16초,0.007158949
62.206초,0.008133612
62.256초,0.007721765
62.307초,0.0098955
62.357초,0.009013583
62.408초,0.007393927
62.453초,0.006949848
62.509초,0.005501576
62.559초,0.0059097
62.605초,0.004224405
62.655초,0.004863836
62.706초,0.001905003
62.756초,0.00274874
62.807초,0.004424197
62.857초,0.002920777
62.908초,0.006992976
62.959초,0.00550606
63.004초,0.007820221
63.06초,0.009728556
63.105초,0.00691114
63.156초,0.008160821
63.206초,0.0112794
63.257초,0.01396587
63.307초,0.01387078
63.358초,0.01256176
63.408초,0.01197895
63.459초,0.01270198
63.504초,0.01070136
