Time,Var1
91.702초,-1.186218
91.803초,-1.206058
91.904초,-1.231366
92.005초,-1.273677
92.106초,-1.297356
92.207초,-1.29829
92.308초,-1.287982
92.399초,-1.274516
92.5초,-1.243228
92.601초,-1.198816
92.702초,-1.146644
92.803초,-1.106536
92.904초,-1.058146
93.005초,-0.9868497
93.106초,-0.9437007
93.207초,-0.9084284
93.308초,-0.8792476
93.399초,-0.8695789
93.51초,-0.8581337
93.601초,-0.8390987
93.702초,-0.815885
93.803초,-0.7927303
93.904초,-0.7670006
94.005초,-0.7205273
94.106초,-0.6859218
94.208초,-0.643705
94.298초,-0.6093482
94.41초,-0.5807309
94.501초,-0.5634921
94.602초,-0.5084396
94.703초,-0.4856713
94.804초,-0.4214672
94.905초,-0.3538432
95.006초,-0.3126654
95.107초,-0.241481
95.208초,-0.2032746
95.309초,-0.1759049
95.41초,-0.1438817
95.501초,-0.1421227
95.602초,-0.1438137
95.703초,-0.1719661
95.804초,-0.2043529
95.905초,-0.3002141
96.006초,-0.3749876
96.107초,-0.4004965
96.208초,-0.4359412
96.309초,-0.4490934
96.4초,-0.4888511
96.501초,-0.5755762
96.602초,-0.6205223
96.703초,-0.7383409
96.804초,-0.8108482
96.905초,-0.8586231
97.006초,-0.9167782
97.108초,-0.9556707
97.209초,-0.9869668
97.299초,-1.039075
97.401초,-1.078581
97.502초,-1.132267
97.603초,-1.142849
97.704초,-1.140154
97.805초,-1.115463
97.906초,-1.064753
98.007초,-0.9974748
98.108초,-0.9482774
98.209초,-0.9149165
98.3초,-0.9045034
98.401초,-0.8915815
98.502초,-0.9069189
98.603초,-0.9242243
98.704초,-0.9223551
98.805초,-0.929463
98.906초,-0.9564227
99.007초,-0.9878321
99.108초,-1.058211
99.199초,-1.102273
99.3초,-1.173165
99.401초,-1.224423
99.502초,-1.252038
99.603초,-1.271491
99.704초,-1.296975
99.805초,-1.324945
99.907초,-1.341096
100.01초,-1.398795
100.1초,-1.442169
100.2초,-1.499432
100.31초,-1.500557
100.4초,-1.496102
100.5초,-1.473798
100.6초,-1.407147
100.7초,-1.332878
100.81초,-1.201738
100.91초,-1.032376
101.01초,-0.8041097
101.1초,-0.5712885
101.21초,-0.2513291
101.3초,-0.004857206
101.4초,0.2068619
101.5초,0.4035917
101.6초,0.5465228
101.71초,0.6882557
101.81초,0.8417508
101.91초,0.9657997
102.01초,1.054811
102.11초,1.081167
102.2초,1.051101
102.3초,1.002997
102.4초,0.8986813
102.5초,0.788806
102.6초,0.7136254
102.71초,0.6153232
102.81초,0.5049647
102.91초,0.4150245
103.01초,0.353992
103.11초,0.2996146
103.2초,0.2415236
