Time,Var1
73.008초,-2.791438
73.058초,-2.790274
73.104초,-2.789583
73.154초,-2.788311
73.21초,-2.786997
73.255초,-2.785588
73.306초,-2.784914
73.356초,-2.783581
73.407초,-2.782998
73.457초,-2.781028
73.503초,-2.779884
73.558초,-2.778905
73.609초,-2.777293
73.654초,-2.775359
73.71초,-2.772909
73.755초,-2.771361
73.806초,-2.770452
73.856초,-2.768989
73.907초,-2.768091
73.957초,-2.766994
74.008초,-2.767432
74.059초,-2.768098
74.109초,-2.768835
74.155초,-2.769727
74.205초,-2.771274
74.256초,-2.772276
74.306초,-2.772721
74.357초,-2.772743
74.407초,-2.773463
74.458초,-2.773437
74.508초,-2.773399
74.554초,-2.773006
74.609초,-2.773692
74.655초,-2.774525
74.705초,-2.775069
74.756초,-2.775089
74.806초,-2.774408
74.857초,-2.772995
74.907초,-2.771512
74.958초,-2.771888
75.008초,-2.772242
75.054초,-2.771917
75.109초,-2.770036
75.155초,-2.768491
75.206초,-2.767209
75.256초,-2.766249
75.306초,-2.764437
75.357초,-2.762545
75.407초,-2.761742
75.458초,-2.76094
75.509초,-2.760159
75.554초,-2.760565
75.604초,-2.760326
75.66초,-2.760879
75.706초,-2.761435
75.756초,-2.76221
75.807초,-2.763053
75.858초,-2.764022
75.908초,-2.764566
75.953초,-2.765333
76.009초,-2.766319
76.054초,-2.76698
76.105초,-2.766928
76.16초,-2.766899
76.206초,-2.767487
76.256초,-2.768512
76.307초,-2.768944
76.358초,-2.768515
76.408초,-2.769611
76.453초,-2.769935
76.509초,-2.770789
76.559초,-2.772429
76.605초,-2.773202
76.655초,-2.775942
76.706초,-2.777311
76.756초,-2.777881
76.807초,-2.779273
76.858초,-2.781409
76.908초,-2.783606
76.959초,-2.785921
77.004초,-2.787971
77.06초,-2.790336
77.105초,-2.791977
77.156초,-2.794169
77.206초,-2.795528
77.257초,-2.797207
77.307초,-2.797589
77.353초,-2.797655
77.408초,-2.797349
77.459초,-2.796717
77.504초,-2.79559
77.56초,-2.794519
77.605초,-2.794113
77.656초,-2.793155
77.706초,-2.791216
77.757초,-2.7901
77.807초,-2.789915
77.858초,-2.78942
77.903초,-2.789119
77.959초,-2.788574
78.004초,-2.787385
78.055초,-2.785836
78.105초,-2.784546
78.156초,-2.784698
78.207초,-2.784136
78.257초,-2.78355
78.308초,-2.782953
78.358초,-2.784152
78.404초,-2.783981
78.459초,-2.782714
78.505초,-2.782071
78.555초,-2.78075
78.606초,-2.780246
78.656초,-2.778704
78.707초,-2.777609
78.757초,-2.775035
78.808초,-2.77457
78.858초,-2.773334
78.904초,-2.771186
78.959초,-2.768758
79.005초,-2.76607
79.055초,-2.764508
79.106초,-2.763177
79.156초,-2.762722
79.207초,-2.761533
79.257초,-2.760761
79.308초,-2.760508
79.358초,-2.761366
79.404초,-2.762817
79.454초,-2.765903
79.51초,-2.767882
79.555초,-2.769432
79.606초,-2.770285
79.657초,-2.772073
79.707초,-2.773021
79.758초,-2.772455
79.803초,-2.772241
79.859초,-2.771799
79.909초,-2.771833
79.955초,-2.771575
80.01초,-2.772636
80.056초,-2.773221
80.106초,-2.77312
80.157초,-2.774246
80.207초,-2.77434
80.258초,-2.775573
80.303초,-2.776128
80.359초,-2.776877
80.409초,-2.777453
80.455초,-2.777566
80.505초,-2.777835
80.556초,-2.77855
80.606초,-2.779442
80.657초,-2.78073
80.707초,-2.781941
80.758초,-2.782892
80.809초,-2.783081
80.854초,-2.783176
80.91초,-2.783242
80.955초,-2.783942
81.006초,-2.784334
81.056초,-2.783598
81.107초,-2.783775
81.157초,-2.782732
81.208초,-2.781048
81.258초,-2.778502
81.309초,-2.776461
81.354초,-2.774698
81.41초,-2.773162
81.455초,-2.772734
81.506초,-2.772814
81.556초,-2.77247
81.607초,-2.77181
81.657초,-2.771225
81.708초,-2.771139
81.758초,-2.771201
81.809초,-2.77128
81.854초,-2.771055
81.905초,-2.77036
81.955초,-2.769812
82.006초,-2.770158
82.056초,-2.770021
82.107초,-2.770158
82.157초,-2.771232
82.208초,-2.770826
82.253초,-2.770608
82.309초,-2.768739
82.354초,-2.767267
82.405초,-2.765517
82.456초,-2.764534
82.506초,-2.764092
82.557초,-2.763578
82.607초,-2.763974
82.658초,-2.76475
82.708초,-2.764802
82.754초,-2.765686
82.809초,-2.766476
82.855초,-2.766252
82.905초,-2.764788
82.956초,-2.763572
83.006초,-2.762371
83.057초,-2.761033
83.107초,-2.759489
83.158초,-2.758168
83.208초,-2.757111
83.254초,-2.755777
83.304초,-2.753599
83.36초,-2.750947
83.405초,-2.748615
83.456초,-2.745828
