t,RollEst,PitchEst,YawEst
50.737초,-0.00342691869507909,0.00884542412793376,-2.67145563904967
50.742초,-0.00337285123767804,0.00903286276574631,-2.67148659110498
50.747초,-0.00346913067589385,0.00920367681270497,-2.67155223111277
50.752초,-0.0035434604280228,0.00940620930312704,-2.6715981450923
50.757초,-0.00356562483805211,0.0093601751415988,-2.67162824882154
50.762초,-0.00373575912376865,0.00937275012927386,-2.67162465754912
50.767초,-0.00383125690398326,0.00915320619360178,-2.6716008241089
50.772초,-0.00369501935408995,0.00927195174571522,-2.67161030932348
50.777초,-0.00354963876817716,0.00920421605418145,-2.67162288752892
50.782초,-0.00342353108048678,0.00947356432582992,-2.67164434858833
50.787초,-0.00345670000778455,0.00957843491521606,-2.67166289787391
50.792초,-0.00334422332475345,0.00983921120464842,-2.67163801051613
50.797초,-0.0034799325900443,0.00975424589338594,-2.67160147869312
50.802초,-0.00358372788184195,0.00972573109681568,-2.6715428521098
50.807초,-0.00391708728362621,0.00945838893280222,-2.67148828063251
50.812초,-0.00390192684018948,0.0094750516542989,-2.67148780175091
50.817초,-0.00388885790362788,0.00930198327824577,-2.67153695600793
50.822초,-0.003695760139851,0.0095550420060033,-2.67162600987443
50.828초,-0.00374581986089538,0.00971356826302215,-2.67170875874047
50.833초,-0.00359212303344915,0.0100473497285462,-2.67175181597868
50.838초,-0.00363948313644062,0.00992499209200309,-2.6717538995508
50.843초,-0.00364508959673574,0.00994116366931311,-2.67170400268764
50.848초,-0.00374367286601047,0.00969459254339111,-2.67162437491098
50.853초,-0.00390911818659901,0.0096572931931631,-2.6715661400365
50.858초,-0.00370668638749966,0.00952992858677212,-2.67154913158737
50.863초,-0.00372390225177973,0.00968120193908013,-2.671579980447
50.868초,-0.00365557191889763,0.0099767263531904,-2.67161638392353
50.873초,-0.00388741728830191,0.0102780884095235,-2.67165845047759
50.878초,-0.00377170551303686,0.0103313446723862,-2.67167043784978
50.883초,-0.00393226515769549,0.0101587278785136,-2.67166196502078
50.888초,-0.00399532413070833,0.0101046081980869,-2.67163992410027
50.893초,-0.00405408299181633,0.00989529812379543,-2.67163436303805
50.898초,-0.00394579292237778,0.00976793319257324,-2.67165376736496
50.903초,-0.00370945542866112,0.00983959385637062,-2.67170448917248
50.908초,-0.00374111002472191,0.0100766791181557,-2.6717317096969
50.913초,-0.00372002432651887,0.0104930122344735,-2.67175154469627
50.918초,-0.00377444771300552,0.0104784553738659,-2.6717190192868
50.923초,-0.00385492750409663,0.0104453738805839,-2.67166319072118
50.929초,-0.00406581261913497,0.0102448433703117,-2.67159963789339
50.934초,-0.0040762917821237,0.0100281127112473,-2.6715638359682
50.939초,-0.00414890521536815,0.00986689300616087,-2.67157143353418
50.944초,-0.00392230732744703,0.00994179353833668,-2.67163971609097
50.949초,-0.00387958152100847,0.0102971708958187,-2.67170615493013
50.954초,-0.00390626491080459,0.0105627493942438,-2.6717731729364
50.959초,-0.00385249734732169,0.0107795539846819,-2.67178671831609
50.964초,-0.00402410397812652,0.0106637724008922,-2.67175795408162
50.969초,-0.0039640030239597,0.0106070584710248,-2.67169449406078
50.974초,-0.00413295961152585,0.0102611824714898,-2.67164288927221
50.979초,-0.00383658863498182,0.0101245941364624,-2.67162535568397
50.984초,-0.00401943357657293,0.0101354535109563,-2.67165211105856
50.989초,-0.00387234188520206,0.010517605024002,-2.67168979743998
50.994초,-0.00398083062481676,0.0107631150347597,-2.67172551056457
50.999초,-0.00395158028049829,0.0109158032892618,-2.67172811104256
51.004초,-0.00421151864826098,0.0109794040171525,-2.67170202864184
51.009초,-0.00420930986059095,0.0106570821585196,-2.67166036662256
51.014초,-0.00423038260584755,0.0104914647265864,-2.67163413432627
51.019초,-0.00397329021627191,0.0101973736841527,-2.67165529322791
51.025초,-0.00397820996489833,0.0102750634505139,-2.6717059372705
51.03초,-0.00392493965309651,0.010607341329269,-2.67176410978435
51.035초,-0.00389659330004727,0.0109500855877419,-2.67180369292333
51.04초,-0.00392822006630584,0.0110817905740152,-2.67180524808809
51.045초,-0.0040906419339934,0.0110988346405338,-2.67175836139296
51.05초,-0.00423080434824932,0.0108741553267964,-2.67168345382229
51.055초,-0.00428020960040431,0.0105879592405053,-2.67162768796547
51.06초,-0.00404984894522026,0.0103959751770706,-2.67162774911702
51.065초,-0.00409198730865681,0.0104995019278385,-2.67167013620203
51.07초,-0.00400774509147717,0.0107093744227487,-2.6717312138909
51.075초,-0.00415600687120937,0.0111485155630421,-2.67179139939096
51.08초,-0.00409023789059218,0.0113100678111006,-2.671813637488
51.085초,-0.00425389604581264,0.011174833959318,-2.67179111151769
