Time,Var1
61.802초,-0.9408706
61.903초,-0.9707444
62.004초,-0.999936
62.105초,-1.028627
62.206초,-1.056327
62.307초,-1.085317
62.408초,-1.109283
62.509초,-1.146364
62.6초,-1.169754
62.701초,-1.195149
62.802초,-1.229793
62.903초,-1.261561
63.004초,-1.251074
63.105초,-1.186246
63.206초,-1.009112
63.307초,-0.7454036
63.408초,-0.5024732
63.499초,-0.3620715
63.6초,-0.3009715
63.701초,-0.3279134
63.802초,-0.4076128
63.904초,-0.5814527
64.005초,-0.7399177
64.106초,-0.7881224
64.207초,-0.7357423
64.308초,-0.6156164
64.399초,-0.4179923
64.5초,-0.2414535
64.611초,-0.1604994
64.702초,-0.1385962
64.803초,-0.0377609
64.904초,-0.01485002
65.005초,-0.05640631
65.106초,-0.09998749
65.207초,-0.0751956
65.308초,-0.05471418
65.399초,-0.06973246
65.51초,-0.04475445
65.601초,-0.05736132
65.702초,-0.05417822
65.803초,-0.05166082
65.904초,-0.06851267
66.005초,-0.08113625
66.106초,-0.08857612
66.207초,-0.1266889
66.298초,-0.1151657
66.409초,-0.1231811
66.5초,-0.1480175
66.601초,-0.1435566
66.703초,-0.1237071
66.804초,-0.1431448
66.905초,-0.1482128
67.006초,-0.1472451
67.107초,-0.1240739
67.208초,-0.124029
67.309초,-0.1387267
67.41초,-0.1350403
67.501초,-0.1434983
67.602초,-0.1534785
67.703초,-0.1434762
67.804초,-0.1343886
67.905초,-0.1459359
68.006초,-0.1170261
68.107초,-0.1254965
68.208초,-0.1158237
68.309초,-0.09581236
68.4초,-0.1007186
68.501초,-0.08995485
68.602초,-0.1074147
68.703초,-0.117073
68.804초,-0.09459198
68.905초,-0.124042
69.006초,-0.1044478
69.108초,-0.07259708
69.208초,0.0214986
69.3초,0.05183933
69.401초,0.06147778
69.502초,0.02987462
69.603초,0.031545
69.704초,0.02718098
69.805초,0.008099568
69.906초,0.0148505
70.007초,-0.005405208
70.108초,-0.02180507
70.209초,-0.03213082
70.3초,-0.03358589
70.401초,-0.05818547
70.502초,-0.06648468
70.603초,-0.0559099
70.704초,-0.07802006
70.805초,-0.04154445
70.906초,-0.04683299
71.007초,-0.01372986
71.108초,-0.0233828
71.199초,-0.01331745
71.3초,-0.01555664
71.401초,-0.02853869
71.502초,-0.0003401129
71.603초,-0.01635247
71.704초,-0.01842239
71.805초,-0.03377815
71.906초,-0.03252535
72.008초,-0.02325284
72.098초,-0.0452036
72.199초,-0.01806446
72.311초,-0.02122436
72.402초,-0.01949076
72.503초,-0.00578423
72.604초,-0.006447321
72.705초,0.005035361
72.806초,0.0178127
72.907초,0.00660186
73.008초,0.0103695
73.099초,0.01882115
73.21초,0.008227802
73.301초,-0.01066019
73.402초,-0.01792189
73.503초,-0.004707245
73.604초,0.004666432
73.705초,0.002611693
