Time,Var1
60.306초,-0.03472686
60.407초,-0.05027164
60.508초,-0.04809635
60.609초,-0.03593416
60.7초,-0.02858026
60.801초,-0.06678693
60.902초,-0.04291704
61.003초,-0.03518698
61.105초,-0.04721725
61.206초,-0.03517934
61.307초,-0.03348742
61.408초,-0.02752059
61.509초,-0.009493108
61.6초,-0.03604642
61.701초,-0.04362103
61.802초,-0.0457465
61.903초,-0.02649807
62.004초,-0.009556638
62.105초,-0.02267527
62.206초,-0.03078423
62.307초,-0.04559182
62.408초,-0.04265956
62.509초,-0.03380133
62.6초,-0.05017404
62.701초,-0.05514449
62.802초,-0.03986757
62.903초,-0.02388434
63.004초,-0.02937984
63.105초,-0.04025969
63.206초,-0.03649067
63.307초,-0.02401146
63.408초,-0.006354087
63.499초,0.007497925
63.6초,-0.004598583
63.701초,0.01016145
63.802초,-0.001736248
63.904초,0.0156211
64.005초,0.01303309
64.106초,0.0138545
64.207초,0.0376413
64.308초,0.03287145
64.399초,0.02212767
64.5초,0.03482964
64.611초,0.03565484
64.702초,0.04717695
64.803초,0.0229112
64.904초,0.01794818
65.005초,0.03584393
65.106초,0.03264016
65.207초,-0.02606234
65.308초,-0.006028736
65.399초,-0.01523483
65.51초,-0.06357671
65.601초,-0.04082784
65.702초,-0.08464307
65.803초,-0.09828083
65.904초,-0.1350917
66.005초,-0.1031073
66.106초,-0.1359357
66.207초,-0.1228779
66.298초,-0.1344613
66.409초,-0.1771589
66.5초,-0.1789844
66.601초,-0.1853984
66.703초,-0.2569438
66.804초,-0.2561977
66.905초,-0.2366188
67.006초,-0.249349
67.107초,-0.2506232
67.208초,-0.1915504
67.309초,-0.1506962
67.41초,-0.1293943
67.501초,-0.1279656
67.602초,-0.1303301
67.703초,-0.1730181
67.804초,-0.185695
67.905초,-0.2070527
68.006초,-0.2763672
68.107초,-0.2829266
68.208초,-0.3430428
68.309초,-0.3296351
68.4초,-0.350841
68.501초,-0.3301477
68.602초,-0.2833934
68.703초,-0.2895545
68.804초,-0.2735023
68.905초,-0.2498926
69.006초,-0.2556085
69.108초,-0.2170602
69.208초,-0.2098448
69.3초,-0.2132047
69.401초,-0.1796821
69.502초,-0.1697472
69.603초,-0.1412018
69.704초,-0.1651479
69.805초,-0.1313883
69.906초,-0.1463464
70.007초,-0.176753
70.108초,-0.1428817
70.209초,-0.1568581
70.3초,-0.2005277
70.401초,-0.1908256
70.502초,-0.1691821
